1392401786, 136, 1126, 96
1392401786, 218, 600, -8
1392401787, 168, 1062, 58
1392401787, 164, 1212, 50
1392401787, 100, 1088, 86
1392401787, 50, 994, 80
1392401787, 78, 1000, 68
1392401787, 92, 1008, 72
1392401787, 76, 984, 90
1392401787, 82, 974, 54
1392401787, 86, 1006, 54
1392401787, 64, 974, 62
1392401788, 52, 1028, 18
1392401788, 60, 996, 20
1392401788, 68, 994, 12
1392401788, 50, 1000, 10
1392401788, 40, 992, 10
1392401788, 44, 988, 18
1392401788, 54, 994, 8
1392401788, 52, 1000, 22
1392401788, 68, 988, 28
1392401788, 60, 1012, 18
1392401789, 42, 1000, 30
1392401789, 62, 992, 26
1392401789, 56, 990, 30
1392401789, 72, 1000, 22
1392401789, 52, 1006, 38
1392401789, 44, 998, 28
1392401789, 50, 1020, 34
1392401789, 58, 1018, 16
1392401789, 60, 1008, 24
1392401789, 60, 1004, -2
1392401790, 80, 980, -36
1392401790, 52, 986, -24
1392401790, 56, 992, -16
1392401790, 56, 998, 4
1392401790, 56, 1000, 12
1392401790, 44, 996, -12
1392401790, 64, 992, -4
1392401790, 58, 998, 2
1392401790, 54, 980, 14
1392401790, 50, 1006, -20
1392401791, 56, 992, 4
1392401791, 56, 1008, -22
1392401791, 50, 1010, -14
1392401791, 72, 1032, -54
1392401791, 126, 1000, -38
1392401791, 256, 1018, -70
1392401791, 352, 960, 46
1392401791, 304, 870, 28
1392401791, 28, 806, -22
1392401792, -2, -42, -118
1392401793, 274, 894, -368
1392401793, 82, 1724, -74
1392401793, 108, 720, -20
1392401793, 216, 872, -158
1392401793, 114, 1080, -58
1392401794, 166, 966, 6
1392401794, 184, 960, 18
1392401794, 168, 966, -30
1392401794, 140, 934, -18
1392401794, 136, 988, 8
1392401794, 174, 984, -2
1392401794, 178, 974, 8
1392401794, 222, 996, -28
1392401794, 200, 964, 2
1392401794, 188, 948, -44
1392401795, 168, 1040, 16
1392401795, 156, 1062, -10
1392401795, 192, 990, -22
1392401795, 280, 1018, -158
1392401795, 272, 540, -50
1392401795, 90, 12, -152
1392401795, 208, 1920, -50
1392401795, 334, 902, -148
1392401795, -8, -356, -134
1392401795, 102, 2312, -94
1392401796, 276, 970, 52
1392401796, -152, -100, -78
1392401796, -8, 2420, 576
1392401796, 342, 622, -272
1392401796, 42, 12, -90
1392401796, -18, 1946, 232
1392401796, 322, 1512, 458
1392401796, -100, -122, -66
1392401796, 112, 1582, 152
1392401796, 280, 878, 28
1392401797, 20, 36, -116
1392401797, -98, 2332, 370
1392401797, 160, 374, -38
1392401797, 186, 284, -198
1392401797, 64, 1412, 62
1392401797, 40, 546, -26
1392401797, 222, 1080, 56
1392401797, 128, 1104, 144
1392401797, 112, 960, 76
1392401797, 122, 974, 60
1392401798, 128, 1000, 132
1392401798, 122, 968, 170
1392401798, 144, 1012, 158
1392401798, 134, 978, 118
1392401799, -782, 2870, 168
1392401800, -286, 668, -348
1392401800, -402, 456, -1002
1392401800, -1144, 2908, 320
1392401800, -482, -1394, -366
1392401800, -1394, 1840, -30
1392401800, -646, 116, -750
1392401800, -448, -1244, -968
1392401800, -842, 2490, -312
1392401800, -696, -1074, -604
1392401800, -920, 2552, 90
1392401801, -1462, 3010, -162
1392401801, -598, -1274, -822
1392401801, -876, 1696, 392
1392401801, -906, 802, -594
1392401801, -176, -660, -332
1392401801, -1156, 1742, -220
1392401801, -690, 808, -322
1392401801, -498, 706, -6
1392401801, -796, 1414, -556
1392401801, -180, -182, -722
1392401802, -468, 914, -32
1392401802, -72, 1078, 62
1392401802, 66, 1010, 16
1392401802, 190, 1052, -158
1392401802, 138, 1102, -140
1392401802, 108, 976, -238
1392401802, 122, 918, -354
1392401802, 150, 850, -462
1392401802, 124, 868, -416
1392401802, 158, 826, -440
1392401803, 142, 752, -574
1392401803, 112, 724, -630
1392401803, 164, 694, -604
1392401803, 200, 670, -610
1392401803, 140, 762, -596
1392401803, 128, 838, -654
1392401803, 144, 694, -656
1392401803, 172, 698, -668
1392401803, 128, 888, -500
1392401803, 148, 814, -526
1392401804, 122, 708, -676
1392401804, 114, 734, -676
1392401804, 154, 546, -666
1392401804, 108, 662, -680
1392401804, 156, 628, -728
